epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,0.9197746670106426,0.9197746670106426,0.0002801141510978911,0.016736611099559286,84.37779193454318,1470,0,123.16454315185547,99.63538360595703,76.66182708740234,75.16602325439453,43.41798782348633,93.97372436523438,82.92853546142578,65.27912902832031,99.1729736328125
499,664.9592648330145,664.0394901660038,2.2531356597052955e-06,0.0015010448559937492,14.47755675845676,1470,0,11.642684936523438,12.195111274719238,13.951960563659668,22.199737548828125,14.795523643493652,13.52009105682373,14.739047050476074,12.152544021606445,15.101310729980469
999,1411.028145999997,746.0688811669825,1.2403627201851134e-06,0.0011137157268284908,10.453094058566624,1470,0,7.899021625518799,8.216087341308594,10.596039772033691,17.320343017578125,13.562481880187988,8.122026443481445,9.317388534545898,7.549519062042236,11.494938850402832
1499,2235.0387481249927,824.0106021249958,7.365480309907033e-07,0.0008582237651048258,8.102224614885118,1470,0,7.211888790130615,6.935516357421875,7.7109503746032715,13.415727615356445,9.803903579711914,6.854129791259766,6.524173259735107,7.01614236831665,7.44758939743042
1999,3070.530710457999,835.4919623330061,5.783302155429497e-07,0.0007604802532235466,7.072024345397949,1470,0,6.026622772216797,5.710431098937988,6.9964189529418945,12.224921226501465,9.080052375793457,6.081882953643799,5.651627063751221,5.774279594421387,6.101983070373535
2499,3907.0570124170044,836.5263019590057,5.306994021524663e-07,0.0007284911819318517,6.953275839487712,1470,0,6.188663959503174,5.978986740112305,6.924834251403809,11.211543083190918,8.507092475891113,6.4680609703063965,6.154871463775635,5.372826099395752,5.772603511810303
2999,4751.597522166994,844.5405097499897,4.80237319883983e-07,0.0006929915727366265,6.54687139723036,1470,0,5.617020130157471,5.316905498504639,6.251178741455078,10.28012466430664,8.060880661010742,6.176923751831055,5.850770950317383,5.587192535400391,5.780845642089844
3499,5614.3473401250085,862.7498179580143,4.258057119501109e-07,0.0006525379007767372,6.463473637898763,1470,0,5.659544944763184,5.538656711578369,6.1662068367004395,10.013880729675293,7.7780585289001465,6.302998065948486,5.5798468589782715,5.539959907531738,5.5921101570129395
3999,6452.358972332993,838.0116322079848,4.126334393193395e-07,0.0006423655029026229,6.171301047007242,1470,0,5.146508693695068,5.459068775177002,5.804551124572754,9.645087242126465,7.707390308380127,5.957146644592285,5.139928340911865,5.356229782104492,5.325798511505127
4499,7136.743414208002,684.3844418750086,3.9813576961091557e-07,0.0006309800072988966,6.112237135569254,1470,0,5.06060791015625,5.412146091461182,5.668618202209473,9.457884788513184,7.747753620147705,5.925004482269287,5.105540752410889,5.399661540985107,5.232916831970215
4999,7803.770865416998,667.0274512089964,3.9453241167477094e-07,0.000628118151047055,6.084895345899794,1470,0,5.030594348907471,5.431048393249512,5.668894290924072,9.449275016784668,7.707498550415039,5.851395130157471,5.049622058868408,5.360082149505615,5.215648174285889
