regime,n_total,n_train,n_eval,rmse_bps_train,rmse_bps_eval
normal_positive,1042,834,208,4.96612024307251,5.150970935821533
any_negative,294,235,59,16.899696350097656,16.06136131286621
inverted,134,107,27,8.683623313903809,8.610029220581055
